,Val Set,Test Set,Avg
Int Encode With ML(LightGBM),0.882882883,0.853293413,0.868088148
Int-Position Encode With ML(LightGBM),0.882882883,0.853293413,0.868088148
Sentence Encode BERT,0.897897898,0.919161677,0.908529787
Sentence Encode BERT With ML(CatBoost),0.900900901,0.907185629,0.904043265
Sentence Encode M3E,0.900900901,0.907185629,0.904043265
Sentence Encode M3E With ML(KNeighbors),0.90990991,0.922155689,0.916032799
Word Encode BERT,0.924924925,0.928143713,0.926534319
Word Encode BERT With ML(LightGBM),0.927927928,0.937125749,0.932526838
Word Encode M3E,0.906906907,0.943113772,0.92501034
Word Encode M3E With ML(LightGBM),0.918918919,0.943113772,0.931016346
